External ID,Date,Product/Internal Reference,Quantity Done,Source Location/Display Name,Destination Location/Display Name
__export__.stock_move_1232249_86e7fe25,2021-12-01 12:52:08,AMP-S010,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232357_534d4955,2021-12-01 12:52:14,AMP-S010,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232381_5ae51767,2021-12-01 12:52:22,AMP-S059,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232383_472003de,2021-12-01 12:52:22,AMP-S052,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232385_be8fe9b7,2021-12-01 12:52:22,AMP-S060,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232387_1aeb2317,2021-12-01 12:52:22,AMP-S016,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232389_ff344a45,2021-12-01 12:52:22,AMP-S042,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232520_71097084,2021-12-01 12:52:29,AMP-S010,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232542_6ada8ea3,2021-12-01 12:52:49,ABX00012,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232548_e1e583d8,2021-12-01 12:52:55,AMP-S042,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232669_5992cb4e,2021-12-01 12:53:01,AMP-X583,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232690_ce96b6c0,2021-12-01 12:53:08,AMP-S035,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232704_6bc2652f,2021-12-01 14:52:32,A000067,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232706_37d5955b,2021-12-01 14:52:32,AMP-X003,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232708_2d255c95,2021-12-01 14:52:32,AMP-B147,1,AMPRU/Output,Partner Locations/Customers
__export__.stock_move_1232710_1d58ce69,2021-12-01 14:52:32,AMP-B144,1,AMPRU/Output,Partner Locations/Customers
